,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,409,5.06,195.12,234.98,75,8,17,0.001,1,1000,16,1000
1,True,627,7.79,199.66,251.28,71,11,18,0.001,1,2000,16,1000
2,True,419,3.75,225.74,241.87,81,15,4,0.001,3,1000,16,1000
3,True,829,6.08,224.83,248.42,79,14,7,0.001,3,2000,16,1000
4,True,266,3.57,232.47,240.84,89,8,3,0.0005,1,1000,16,1000
5,True,471,8.35,196.82,231.47,77,9,14,0.0005,1,2000,16,1000
6,True,271,2.33,212.87,247.25,78,10,12,0.0005,3,1000,16,1000
7,True,466,4.54,223.3,242.55,75,18,7,0.0005,3,2000,16,1000
8,True,432,6.27,213.65,243.71,72,19,9,0.0001,1,1000,16,1000
9,True,420,7.6,190.88,228.42,59,23,18,0.0001,1,2000,16,1000
10,False,1000,13.66,164.08,225.83,60,13,27,0.0001,3,1000,16,1000
11,False,1000,11.54,201.2,215.42,63,34,3,0.0001,3,2000,16,1000
12,True,692,6.55,196.75,254.88,72,10,18,0.001,1,1000,32,1000
13,True,686,7.43,212.1,252.04,82,6,12,0.001,1,2000,32,1000
14,True,516,3.86,149.17,234.75,66,5,29,0.001,3,1000,32,1000
15,True,792,7.12,219.01,249.41,75,15,10,0.001,3,2000,32,1000
16,True,350,4.28,207.39,249.22,75,10,15,0.0005,1,1000,32,1000
17,True,357,5.29,209.77,239.78,80,8,12,0.0005,1,2000,32,1000
18,True,368,2.8,238.83,242.96,85,15,0,0.0005,3,1000,32,1000
19,True,464,4.12,218.56,239.22,77,18,5,0.0005,3,2000,32,1000
20,True,319,5.59,224.92,245.77,77,21,2,0.0001,1,1000,32,1000
21,True,334,6.71,220.4,232.64,80,17,3,0.0001,1,2000,32,1000
22,True,740,9.51,230.0,248.35,76,22,2,0.0001,3,1000,32,1000
23,True,872,12.24,196.19,233.9,70,16,14,0.0001,3,2000,32,1000
24,True,584,7.43,178.99,250.25,66,10,24,0.001,1,1000,64,1000
25,True,659,10.42,230.9,266.69,81,9,10,0.001,1,2000,64,1000
26,True,338,2.84,249.02,255.13,92,8,0,0.001,3,1000,64,1000
27,True,412,4.54,228.53,250.84,81,13,6,0.001,3,2000,64,1000
28,True,229,3.93,185.6,236.59,60,21,19,0.0005,1,1000,64,1000
29,True,667,8.96,231.7,251.89,79,20,1,0.0005,1,2000,64,1000
30,True,335,3.09,170.72,208.06,54,30,16,0.0005,3,1000,64,1000
31,True,454,5.06,199.93,245.19,68,17,15,0.0005,3,2000,64,1000
32,True,230,3.92,201.22,231.18,68,12,20,0.0001,1,1000,64,1000
33,True,639,10.81,245.94,254.77,92,6,2,0.0001,1,2000,64,1000
34,True,447,5.9,237.17,262.07,85,6,9,0.0001,3,1000,64,1000
35,True,810,10.09,221.72,229.57,77,20,3,0.0001,3,2000,64,1000
