,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,603,4.88,173.65,240.81,67,15,18,0.001,1,1000,16,1000
1,True,541,6.06,220.63,257.62,82,5,13,0.001,1,2000,16,1000
2,True,335,2.52,208.09,223.69,72,20,8,0.001,3,1000,16,1000
3,True,396,4.15,202.58,216.28,66,27,7,0.001,3,2000,16,1000
4,True,344,3.7,164.22,240.53,62,5,33,0.0005,1,1000,16,1000
5,True,349,4.89,250.58,259.27,92,8,0,0.0005,1,2000,16,1000
6,True,539,4.75,256.93,264.06,95,3,2,0.0005,3,1000,16,1000
7,True,378,3.57,214.1,225.49,73,21,6,0.0005,3,2000,16,1000
8,True,366,5.5,242.63,254.75,90,8,2,0.0001,1,1000,16,1000
9,True,445,8.44,225.74,250.61,87,3,10,0.0001,1,2000,16,1000
10,False,1000,14.99,100.47,172.99,38,21,41,0.0001,3,1000,16,1000
11,False,1000,16.29,86.61,70.94,11,21,68,0.0001,3,2000,16,1000
12,True,521,4.25,139.59,246.87,63,14,23,0.001,1,1000,32,1000
13,True,509,5.54,143.95,259.67,64,1,35,0.001,1,2000,32,1000
14,True,520,3.24,208.65,255.35,74,8,18,0.001,3,1000,32,1000
15,True,705,5.19,174.16,185.79,48,35,17,0.001,3,2000,32,1000
16,True,306,3.51,115.42,234.82,55,5,40,0.0005,1,1000,32,1000
17,True,674,6.82,209.48,254.75,80,4,16,0.0005,1,2000,32,1000
18,True,337,3.13,180.88,222.04,60,22,18,0.0005,3,1000,32,1000
19,True,615,4.97,228.89,247.64,88,4,8,0.0005,3,2000,32,1000
20,True,336,5.35,217.87,252.69,84,7,9,0.0001,1,1000,32,1000
21,True,339,5.67,238.16,247.86,89,11,0,0.0001,1,2000,32,1000
22,True,848,7.29,218.64,226.29,80,16,4,0.0001,3,1000,32,1000
23,True,985,13.91,236.55,250.33,90,8,2,0.0001,3,2000,32,1000
24,True,325,3.69,214.39,259.91,85,3,12,0.001,1,1000,64,1000
25,True,454,5.1,189.64,247.41,70,7,23,0.001,1,2000,64,1000
26,True,631,3.84,229.13,256.87,81,13,6,0.001,3,1000,64,1000
27,True,329,3.78,206.93,249.06,75,12,13,0.001,3,2000,64,1000
28,True,268,3.4,220.2,260.67,84,8,8,0.0005,1,1000,64,1000
29,True,428,6.09,221.87,248.93,77,17,6,0.0005,1,2000,64,1000
30,True,316,2.59,208.32,242.81,79,4,17,0.0005,3,1000,64,1000
31,True,385,3.55,221.61,252.46,76,15,9,0.0005,3,2000,64,1000
32,True,260,4.09,231.17,258.49,83,8,9,0.0001,1,1000,64,1000
33,True,395,6.97,205.51,237.27,77,12,11,0.0001,1,2000,64,1000
34,True,676,10.53,218.22,258.13,78,7,15,0.0001,3,1000,64,1000
35,True,548,6.39,213.49,246.6,71,21,8,0.0001,3,2000,64,1000
