,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,342,3.87,247.7,263.14,89,9,2,0.001,1,1000,16,1000
1,True,487,7.51,227.38,265.26,85,4,11,0.001,1,2000,16,1000
2,True,372,3.56,217.93,251.0,81,10,9,0.001,3,1000,16,1000
3,True,681,7.18,242.09,255.96,89,8,3,0.001,3,2000,16,1000
4,True,490,6.25,202.05,245.37,70,15,15,0.0005,1,1000,16,1000
5,True,327,4.88,232.24,239.52,93,3,4,0.0005,1,2000,16,1000
6,True,442,4.52,206.65,230.38,72,19,9,0.0005,3,1000,16,1000
7,True,854,6.95,225.99,251.53,90,2,8,0.0005,3,2000,16,1000
8,True,324,5.61,221.21,243.97,80,13,7,0.0001,1,1000,16,1000
9,True,379,7.86,217.22,230.6,72,23,5,0.0001,1,2000,16,1000
10,True,987,15.6,224.82,249.56,85,7,8,0.0001,3,1000,16,1000
11,False,1000,22.26,-8.53,-13.78,0,0,100,0.0001,3,2000,16,1000
12,True,544,6.9,193.42,250.52,69,6,25,0.001,1,1000,32,1000
13,True,410,6.13,236.6,255.96,87,7,6,0.001,1,2000,32,1000
14,True,446,4.03,213.38,237.31,81,8,11,0.001,3,1000,32,1000
15,True,495,4.26,202.81,235.06,78,11,11,0.001,3,2000,32,1000
16,True,465,5.58,230.39,258.6,90,3,7,0.0005,1,1000,32,1000
17,True,361,5.79,214.03,235.94,77,15,8,0.0005,1,2000,32,1000
18,True,308,3.06,221.01,222.21,83,15,2,0.0005,3,1000,32,1000
19,True,664,6.34,224.71,244.4,86,9,5,0.0005,3,2000,32,1000
20,True,363,6.45,228.93,242.33,86,9,5,0.0001,1,1000,32,1000
21,True,612,10.85,214.67,253.34,74,10,16,0.0001,1,2000,32,1000
22,True,712,9.34,208.59,231.63,77,13,10,0.0001,3,1000,32,1000
23,True,637,9.87,241.03,248.2,92,7,1,0.0001,3,2000,32,1000
24,True,424,5.88,233.62,265.57,86,3,11,0.001,1,1000,64,1000
25,False,1000,12.35,202.94,261.57,74,5,21,0.001,1,2000,64,1000
26,True,316,2.55,256.48,266.95,93,2,5,0.001,3,1000,64,1000
27,True,384,3.92,234.2,252.75,88,8,4,0.001,3,2000,64,1000
28,True,380,6.08,260.85,267.03,95,5,0,0.0005,1,1000,64,1000
29,True,346,5.25,173.84,252.48,64,6,30,0.0005,1,2000,64,1000
30,True,304,3.01,167.09,236.08,62,11,27,0.0005,3,1000,64,1000
31,True,536,5.53,216.93,238.41,77,16,7,0.0005,3,2000,64,1000
32,True,420,8.39,259.31,266.69,95,3,2,0.0001,1,1000,64,1000
33,True,368,8.59,213.08,244.67,79,10,11,0.0001,1,2000,64,1000
34,True,655,6.66,215.84,239.57,82,9,9,0.0001,3,1000,64,1000
35,True,566,7.26,246.7,261.59,90,5,5,0.0001,3,2000,64,1000
