,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,328,3.28,133.64,238.67,65,6,29,0.001,1,1000,16,1000
1,True,478,5.56,203.38,251.98,72,7,21,0.001,1,2000,16,1000
2,True,420,3.5,218.87,244.93,83,6,11,0.001,3,1000,16,1000
3,True,481,4.94,241.66,248.33,94,5,1,0.001,3,2000,16,1000
4,True,270,3.18,153.57,231.22,69,9,22,0.0005,1,1000,16,1000
5,True,372,5.46,164.09,231.26,65,8,27,0.0005,1,2000,16,1000
6,True,611,4.35,206.26,228.6,75,15,10,0.0005,3,1000,16,1000
7,True,631,4.99,190.67,220.19,68,24,8,0.0005,3,2000,16,1000
8,True,354,5.65,228.69,242.55,83,11,6,0.0001,1,1000,16,1000
9,True,366,6.16,182.21,235.16,70,7,23,0.0001,1,2000,16,1000
10,False,1000,15.64,-37.37,-42.67,0,2,98,0.0001,3,1000,16,1000
11,True,776,10.26,206.05,241.61,79,4,17,0.0001,3,2000,16,1000
12,True,638,6.42,186.32,230.08,54,34,12,0.001,1,1000,32,1000
13,True,564,6.75,216.12,264.51,77,7,16,0.001,1,2000,32,1000
14,True,379,2.92,247.47,251.85,93,6,1,0.001,3,1000,32,1000
15,True,369,3.44,182.02,215.1,57,29,14,0.001,3,2000,32,1000
16,True,283,4.16,164.86,225.19,62,14,24,0.0005,1,1000,32,1000
17,True,407,4.92,226.85,253.9,82,8,10,0.0005,1,2000,32,1000
18,True,329,2.67,240.56,255.4,85,13,2,0.0005,3,1000,32,1000
19,True,330,3.52,224.94,246.23,82,9,9,0.0005,3,2000,32,1000
20,True,430,6.48,225.48,234.69,85,12,3,0.0001,1,1000,32,1000
21,True,353,6.25,226.74,238.99,84,9,7,0.0001,1,2000,32,1000
22,True,817,11.61,215.27,247.91,80,6,14,0.0001,3,1000,32,1000
23,True,534,7.12,219.27,249.61,85,6,9,0.0001,3,2000,32,1000
24,True,510,5.74,229.32,265.62,83,5,12,0.001,1,1000,64,1000
25,True,458,6.9,243.92,266.67,89,5,6,0.001,1,2000,64,1000
26,True,306,2.66,218.33,248.03,85,7,8,0.001,3,1000,64,1000
27,True,342,3.11,214.17,236.25,81,12,7,0.001,3,2000,64,1000
28,True,416,5.33,240.41,265.56,88,6,6,0.0005,1,1000,64,1000
29,True,452,6.38,211.06,242.62,81,9,10,0.0005,1,2000,64,1000
30,True,269,2.45,205.58,223.28,68,24,8,0.0005,3,1000,64,1000
31,True,406,3.71,223.24,230.53,81,15,4,0.0005,3,2000,64,1000
32,True,278,4.55,232.91,239.86,94,3,3,0.0001,1,1000,64,1000
33,True,408,7.12,135.92,149.89,43,14,43,0.0001,1,2000,64,1000
34,True,702,7.54,172.04,196.27,45,34,21,0.0001,3,1000,64,1000
35,True,863,8.82,212.25,235.78,79,14,7,0.0001,3,2000,64,1000
