,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,False,1000,2.21,-367.25,-300.07,0,0,100,0.001,1,1000,16,1000
1,False,1000,2.31,-266.09,-233.66,0,0,100,0.001,1,2000,16,1000
2,False,1000,0.97,-402.67,-404.16,0,0,100,0.001,3,1000,16,1000
3,False,1000,0.89,-273.1,-260.95,0,0,100,0.001,3,2000,16,1000
4,False,1000,2.2,-388.88,-388.32,0,0,100,0.0005,1,1000,16,1000
5,False,1000,2.76,-118.29,-118.49,0,0,100,0.0005,1,2000,16,1000
6,False,1000,0.52,-129.26,-125.07,0,0,100,0.0005,3,1000,16,1000
7,False,1000,0.51,-135.98,-133.43,0,0,100,0.0005,3,2000,16,1000
8,False,1000,1.29,-154.07,-151.96,0,0,100,0.0001,1,1000,16,1000
9,False,1000,1.79,-228.21,-262.58,0,0,100,0.0001,1,2000,16,1000
10,False,1000,0.53,-136.33,-133.67,0,0,100,0.0001,3,1000,16,1000
11,False,1000,0.52,-135.53,-133.43,0,0,100,0.0001,3,2000,16,1000
12,False,1000,1.77,-116.39,-116.67,0,0,100,0.001,1,1000,32,1000
13,False,1000,2.22,-149.9,-145.71,0,0,100,0.001,1,2000,32,1000
14,False,1000,0.64,-122.31,-120.51,0,0,100,0.001,3,1000,32,1000
15,False,1000,4.36,-194.55,-211.66,0,0,100,0.001,3,2000,32,1000
16,False,1000,3.39,-93.01,-92.37,0,0,100,0.0005,1,1000,32,1000
17,False,1000,1.82,-138.01,-139.53,0,0,100,0.0005,1,2000,32,1000
18,False,1000,1.02,-206.85,-152.82,0,0,100,0.0005,3,1000,32,1000
19,False,1000,0.77,-411.58,-363.7,0,0,100,0.0005,3,2000,32,1000
20,False,1000,1.42,-295.69,-152.75,0,0,100,0.0001,1,1000,32,1000
21,False,1000,1.79,-425.52,-440.07,0,0,100,0.0001,1,2000,32,1000
22,False,1000,0.61,-137.0,-133.68,0,0,100,0.0001,3,1000,32,1000
23,False,1000,0.63,-131.1,-124.46,0,0,100,0.0001,3,2000,32,1000
24,False,1000,3.6,-227.33,-186.21,0,0,100,0.001,1,1000,64,1000
25,False,1000,2.62,-317.56,-294.77,0,0,100,0.001,1,2000,64,1000
26,False,1000,1.43,-125.61,-125.86,0,0,100,0.001,3,1000,64,1000
27,False,1000,1.15,-325.72,-306.92,0,0,100,0.001,3,2000,64,1000
28,False,1000,2.0,-270.0,-260.56,0,0,100,0.0005,1,1000,64,1000
29,False,1000,2.1,-198.13,-143.86,0,0,100,0.0005,1,2000,64,1000
30,False,1000,0.95,-126.37,-134.96,0,0,100,0.0005,3,1000,64,1000
31,False,1000,0.99,-291.78,-171.81,0,0,100,0.0005,3,2000,64,1000
32,False,1000,1.85,-144.89,-148.61,0,0,100,0.0001,1,1000,64,1000
33,False,1000,2.88,-264.95,-308.63,0,0,100,0.0001,1,2000,64,1000
34,False,1000,0.75,-159.4,-143.33,0,0,100,0.0001,3,1000,64,1000
35,False,1000,0.71,-369.28,-433.76,0,0,100,0.0001,3,2000,64,1000
