,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,329,3.63,46.62,21.48,17,6,77,0.001,1,1000,16,1000
1,True,386,4.55,150.16,229.83,64,14,22,0.001,1,2000,16,1000
2,True,606,5.32,-43.03,-37.78,0,0,100,0.001,3,1000,16,1000
3,True,957,6.48,198.45,240.99,72,15,13,0.001,3,2000,16,1000
4,True,355,4.0,253.52,265.37,96,1,3,0.0005,1,1000,16,1000
5,True,556,6.02,195.27,232.22,67,19,14,0.0005,1,2000,16,1000
6,True,340,3.01,252.17,259.12,95,3,2,0.0005,3,1000,16,1000
7,True,638,5.29,179.35,229.38,69,8,23,0.0005,3,2000,16,1000
8,True,350,5.74,127.97,164.61,35,30,35,0.0001,1,1000,16,1000
9,True,683,9.3,246.13,259.54,89,5,6,0.0001,1,2000,16,1000
10,False,1000,12.37,166.92,219.03,60,21,19,0.0001,3,1000,16,1000
11,False,1000,16.62,180.8,198.52,48,41,11,0.0001,3,2000,16,1000
12,True,383,3.78,215.86,248.58,82,7,11,0.001,1,1000,32,1000
13,False,1000,10.17,102.6,228.23,58,8,34,0.001,1,2000,32,1000
14,True,461,3.1,242.6,262.28,88,9,3,0.001,3,1000,32,1000
15,True,346,4.02,172.65,205.53,52,33,15,0.001,3,2000,32,1000
16,True,241,3.18,227.07,238.3,77,22,1,0.0005,1,1000,32,1000
17,True,927,9.65,197.48,231.71,71,13,16,0.0005,1,2000,32,1000
18,True,373,3.51,194.72,211.14,54,39,7,0.0005,3,1000,32,1000
19,True,290,2.88,180.03,231.43,67,20,13,0.0005,3,2000,32,1000
20,True,293,4.33,238.94,249.02,88,10,2,0.0001,1,1000,32,1000
21,True,351,5.44,252.08,257.63,93,7,0,0.0001,1,2000,32,1000
22,True,774,10.27,218.61,233.4,76,17,7,0.0001,3,1000,32,1000
23,True,702,9.12,241.96,245.59,86,12,2,0.0001,3,2000,32,1000
24,True,477,5.02,208.58,253.34,74,11,15,0.001,1,1000,64,1000
25,True,503,5.41,167.06,240.22,67,6,27,0.001,1,2000,64,1000
26,True,292,2.17,238.53,249.43,85,14,1,0.001,3,1000,64,1000
27,True,531,4.08,225.24,242.79,75,23,2,0.001,3,2000,64,1000
28,True,430,4.99,208.85,241.03,78,15,7,0.0005,1,1000,64,1000
29,True,806,9.14,214.31,248.08,79,10,11,0.0005,1,2000,64,1000
30,True,517,4.36,192.72,246.13,71,10,19,0.0005,3,1000,64,1000
31,True,434,4.14,203.88,247.91,75,8,17,0.0005,3,2000,64,1000
32,True,351,4.98,246.24,251.78,92,7,1,0.0001,1,1000,64,1000
33,True,504,12.32,215.49,242.83,73,21,6,0.0001,1,2000,64,1000
34,True,568,5.94,211.65,227.78,72,24,4,0.0001,3,1000,64,1000
35,True,723,6.33,252.64,260.14,92,7,1,0.0001,3,2000,64,1000
