,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,473,5.15,238.16,263.15,87,5,8,0.001,1,1000,16,1000
1,True,616,6.69,243.94,255.08,90,7,3,0.001,1,2000,16,1000
2,True,763,5.88,221.79,244.33,66,33,1,0.001,3,1000,16,1000
3,True,929,9.31,226.55,254.22,76,16,8,0.001,3,2000,16,1000
4,True,300,3.24,249.5,255.51,93,7,0,0.0005,1,1000,16,1000
5,True,388,6.02,186.41,220.32,61,26,13,0.0005,1,2000,16,1000
6,True,568,5.23,57.85,52.04,35,15,50,0.0005,3,1000,16,1000
7,True,661,8.77,223.7,244.04,87,7,6,0.0005,3,2000,16,1000
8,True,395,5.79,217.48,246.85,81,6,13,0.0001,1,1000,16,1000
9,True,455,7.46,227.87,244.38,86,9,5,0.0001,1,2000,16,1000
10,False,1000,16.81,94.98,30.81,33,1,66,0.0001,3,1000,16,1000
11,False,1000,17.67,-17.63,-17.31,0,0,100,0.0001,3,2000,16,1000
12,True,485,4.57,147.47,189.35,49,22,29,0.001,1,1000,32,1000
13,True,687,5.66,240.95,266.6,89,5,6,0.001,1,2000,32,1000
14,True,291,2.13,242.82,257.25,91,3,6,0.001,3,1000,32,1000
15,True,598,5.48,190.08,241.81,76,8,16,0.001,3,2000,32,1000
16,True,297,3.2,226.63,256.72,82,7,11,0.0005,1,1000,32,1000
17,True,599,6.5,200.19,245.87,79,7,14,0.0005,1,2000,32,1000
18,True,439,3.47,220.62,240.38,76,21,3,0.0005,3,1000,32,1000
19,True,349,3.35,219.55,239.0,81,9,10,0.0005,3,2000,32,1000
20,True,276,3.5,245.01,254.4,93,5,2,0.0001,1,1000,32,1000
21,True,431,6.49,215.22,234.41,68,27,5,0.0001,1,2000,32,1000
22,True,900,14.83,240.76,250.6,93,5,2,0.0001,3,1000,32,1000
23,True,603,7.28,239.98,247.03,89,10,1,0.0001,3,2000,32,1000
24,True,567,5.35,192.48,258.35,69,8,23,0.001,1,1000,64,1000
25,True,590,6.1,167.19,249.85,62,6,32,0.001,1,2000,64,1000
26,True,575,3.34,261.63,265.25,98,2,0,0.001,3,1000,64,1000
27,True,972,5.91,230.46,258.82,83,10,7,0.001,3,2000,64,1000
28,True,447,4.36,248.02,260.77,93,4,3,0.0005,1,1000,64,1000
29,True,568,5.86,189.71,254.6,78,5,17,0.0005,1,2000,64,1000
30,True,269,2.14,193.77,236.32,74,8,18,0.0005,3,1000,64,1000
31,True,523,6.84,233.88,253.42,84,6,10,0.0005,3,2000,64,1000
32,True,245,3.45,243.72,257.03,89,4,7,0.0001,1,1000,64,1000
33,True,373,5.47,211.1,246.19,77,12,11,0.0001,1,2000,64,1000
34,True,637,7.47,232.51,256.64,88,4,8,0.0001,3,1000,64,1000
35,True,608,6.53,222.6,244.33,82,8,10,0.0001,3,2000,64,1000
