,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,327,3.46,231.39,250.01,88,5,7,0.001,1,1000,16,1000
1,True,460,6.15,242.21,259.11,86,12,2,0.001,1,2000,16,1000
2,True,354,3.08,245.42,254.68,88,11,1,0.001,3,1000,16,1000
3,True,563,4.58,226.43,235.86,83,16,1,0.001,3,2000,16,1000
4,True,532,5.74,251.92,256.96,94,5,1,0.0005,1,1000,16,1000
5,True,321,4.9,245.06,255.41,88,9,3,0.0005,1,2000,16,1000
6,True,326,2.97,98.22,38.13,35,0,65,0.0005,3,1000,16,1000
7,True,390,3.88,207.12,227.54,70,21,9,0.0005,3,2000,16,1000
8,True,500,7.68,164.68,215.57,57,19,24,0.0001,1,1000,16,1000
9,True,626,9.6,210.19,243.38,75,14,11,0.0001,1,2000,16,1000
10,False,1000,13.04,-78.85,-66.26,0,0,100,0.0001,3,1000,16,1000
11,False,1000,17.82,3.56,-8.23,0,7,93,0.0001,3,2000,16,1000
12,True,549,5.82,234.7,261.05,86,10,4,0.001,1,1000,32,1000
13,True,661,7.92,194.66,258.56,77,7,16,0.001,1,2000,32,1000
14,True,535,3.84,247.89,257.16,89,10,1,0.001,3,1000,32,1000
15,True,462,3.84,209.94,241.79,74,11,15,0.001,3,2000,32,1000
16,True,272,3.67,235.34,264.88,88,7,5,0.0005,1,1000,32,1000
17,True,555,6.13,234.42,252.15,80,17,3,0.0005,1,2000,32,1000
18,True,305,2.87,228.16,236.54,89,4,7,0.0005,3,1000,32,1000
19,True,401,4.17,192.04,245.76,70,11,19,0.0005,3,2000,32,1000
20,True,353,6.01,180.96,215.27,64,20,16,0.0001,1,1000,32,1000
21,True,385,7.1,222.08,231.11,81,17,2,0.0001,1,2000,32,1000
22,True,813,8.74,204.48,228.56,69,20,11,0.0001,3,1000,32,1000
23,True,729,10.43,201.17,223.17,77,15,8,0.0001,3,2000,32,1000
24,False,1000,10.06,230.67,254.33,85,8,7,0.001,1,1000,64,1000
25,False,1000,11.65,131.07,232.03,61,9,30,0.001,1,2000,64,1000
26,True,346,2.99,238.94,244.67,94,4,2,0.001,3,1000,64,1000
27,True,753,5.92,229.8,253.33,85,7,8,0.001,3,2000,64,1000
28,True,440,6.25,204.73,261.73,82,5,13,0.0005,1,1000,64,1000
29,False,1000,10.63,183.24,247.0,74,4,22,0.0005,1,2000,64,1000
30,True,262,2.53,210.21,222.32,76,21,3,0.0005,3,1000,64,1000
31,True,371,3.91,150.97,234.42,58,12,30,0.0005,3,2000,64,1000
32,True,340,6.38,187.73,223.5,70,16,14,0.0001,1,1000,64,1000
33,True,566,10.68,197.22,250.34,66,19,15,0.0001,1,2000,64,1000
34,True,460,6.1,254.81,261.87,93,7,0,0.0001,3,1000,64,1000
35,True,438,5.77,191.58,229.32,72,10,18,0.0001,3,2000,64,1000
