,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,469,3.88,166.99,248.5,72,9,19,0.001,1,1000,16,1000
1,True,408,5.25,252.16,258.54,95,3,2,0.001,1,2000,16,1000
2,True,443,3.24,180.47,217.03,66,18,16,0.001,3,1000,16,1000
3,True,829,6.3,221.52,249.69,79,10,11,0.001,3,2000,16,1000
4,True,373,3.99,188.05,232.64,70,12,18,0.0005,1,1000,16,1000
5,True,445,6.05,202.64,238.85,80,7,13,0.0005,1,2000,16,1000
6,True,604,7.66,234.48,261.83,90,5,5,0.0005,3,1000,16,1000
7,True,703,6.02,180.98,196.21,49,37,14,0.0005,3,2000,16,1000
8,True,499,6.63,248.63,260.23,92,7,1,0.0001,1,1000,16,1000
9,True,543,7.66,190.72,219.02,59,26,15,0.0001,1,2000,16,1000
10,False,1000,14.66,163.0,191.55,39,38,23,0.0001,3,1000,16,1000
11,False,1000,13.29,173.2,176.09,36,55,9,0.0001,3,2000,16,1000
12,True,491,4.23,232.82,260.42,84,7,9,0.001,1,1000,32,1000
13,True,510,5.07,192.4,251.83,76,9,15,0.001,1,2000,32,1000
14,True,465,3.24,167.53,238.26,71,8,21,0.001,3,1000,32,1000
15,True,418,3.32,238.14,252.13,86,13,1,0.001,3,2000,32,1000
16,True,258,2.95,196.56,242.06,71,11,18,0.0005,1,1000,32,1000
17,True,676,6.9,237.5,247.06,85,14,1,0.0005,1,2000,32,1000
18,True,310,2.64,210.57,234.63,70,25,5,0.0005,3,1000,32,1000
19,True,425,3.83,227.06,236.28,81,17,2,0.0005,3,2000,32,1000
20,True,313,4.67,222.74,234.36,79,16,5,0.0001,1,1000,32,1000
21,True,353,6.3,211.63,240.5,80,8,12,0.0001,1,2000,32,1000
22,True,584,7.3,222.03,232.01,82,13,5,0.0001,3,1000,32,1000
23,True,581,7.89,228.93,241.14,77,19,4,0.0001,3,2000,32,1000
24,True,696,6.9,189.0,243.23,57,35,8,0.001,1,1000,64,1000
25,True,598,6.95,125.99,233.36,61,11,28,0.001,1,2000,64,1000
26,True,304,2.36,233.27,250.24,93,1,6,0.001,3,1000,64,1000
27,True,402,3.78,226.3,234.8,81,15,4,0.001,3,2000,64,1000
28,True,366,3.83,103.8,92.48,49,1,50,0.0005,1,1000,64,1000
29,True,542,6.03,207.44,256.98,76,9,15,0.0005,1,2000,64,1000
30,True,306,2.68,221.74,240.24,80,16,4,0.0005,3,1000,64,1000
31,True,489,3.75,200.56,241.52,73,11,16,0.0005,3,2000,64,1000
32,True,372,5.57,237.41,251.88,87,12,1,0.0001,1,1000,64,1000
33,True,429,6.27,186.97,223.71,69,14,17,0.0001,1,2000,64,1000
34,True,320,3.36,256.44,263.97,96,3,1,0.0001,3,1000,64,1000
35,True,448,5.88,257.51,264.29,94,6,0,0.0001,3,2000,64,1000
