,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,240,3.02,188.07,226.71,71,14,15,0.001,1,1000,16,1000
1,True,598,40.63,216.83,246.21,75,18,7,0.001,1,2000,16,1000
2,True,482,29.8,222.22,238.32,76,15,9,0.001,3,1000,16,1000
3,True,731,77.29,237.21,252.43,90,7,3,0.001,3,2000,16,1000
4,True,249,53.47,256.99,268.7,96,0,4,0.0005,1,1000,16,1000
5,True,715,104.6,155.55,224.12,60,20,20,0.0005,1,2000,16,1000
6,True,522,68.43,243.02,249.12,90,8,2,0.0005,3,1000,16,1000
7,True,888,148.31,191.84,242.84,63,21,16,0.0005,3,2000,16,1000
8,True,309,38.34,234.35,266.98,82,2,16,0.0001,1,1000,16,1000
9,True,497,7.19,241.45,253.0,89,6,5,0.0001,1,2000,16,1000
10,False,1000,14.65,178.12,207.98,54,27,19,0.0001,3,1000,16,1000
11,False,1000,16.67,238.14,247.82,92,4,4,0.0001,3,2000,16,1000
12,True,538,4.6,165.94,243.55,67,2,31,0.001,1,1000,32,1000
13,True,791,6.43,229.29,248.0,80,16,4,0.001,1,2000,32,1000
14,True,429,3.42,250.58,250.63,97,3,0,0.001,3,1000,32,1000
15,True,776,5.24,196.66,244.23,72,9,19,0.001,3,2000,32,1000
16,True,227,2.78,252.82,260.27,93,5,2,0.0005,1,1000,32,1000
17,True,483,5.67,239.01,262.7,85,8,7,0.0005,1,2000,32,1000
18,True,309,2.69,224.54,239.2,83,10,7,0.0005,3,1000,32,1000
19,True,539,5.57,220.22,229.91,80,15,5,0.0005,3,2000,32,1000
20,True,257,3.62,217.85,233.73,81,13,6,0.0001,1,1000,32,1000
21,True,409,7.37,234.08,244.03,91,7,2,0.0001,1,2000,32,1000
22,True,845,12.01,200.31,250.25,70,4,26,0.0001,3,1000,32,1000
23,True,932,16.21,179.82,235.72,65,15,20,0.0001,3,2000,32,1000
24,True,447,5.08,185.05,257.79,73,7,20,0.001,1,1000,64,1000
25,True,812,9.78,149.95,217.7,54,25,21,0.001,1,2000,64,1000
26,True,315,2.57,199.15,251.89,75,8,17,0.001,3,1000,64,1000
27,True,499,5.22,186.15,237.83,70,13,17,0.001,3,2000,64,1000
28,True,374,4.85,174.97,256.4,74,5,21,0.0005,1,1000,64,1000
29,True,720,9.04,222.99,254.18,84,4,12,0.0005,1,2000,64,1000
30,True,408,3.37,238.69,258.75,89,6,5,0.0005,3,1000,64,1000
31,True,398,3.69,175.51,236.17,65,16,19,0.0005,3,2000,64,1000
32,True,334,5.79,248.66,260.2,92,2,6,0.0001,1,1000,64,1000
33,True,394,6.87,247.9,256.89,92,2,6,0.0001,1,2000,64,1000
34,True,538,5.82,191.2,239.0,69,6,25,0.0001,3,1000,64,1000
35,True,548,6.66,155.83,231.03,66,8,26,0.0001,3,2000,64,1000
