,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,297,3.66,231.43,260.71,81,13,6,0.001,1,1000,16,1000
1,True,588,6.7,204.65,256.68,71,4,25,0.001,1,2000,16,1000
2,True,554,5.43,196.67,229.85,69,16,15,0.001,3,1000,16,1000
3,True,528,3.97,198.85,228.71,72,18,10,0.001,3,2000,16,1000
4,True,529,5.36,174.98,144.28,40,54,6,0.0005,1,1000,16,1000
5,True,534,6.36,228.7,259.26,86,5,9,0.0005,1,2000,16,1000
6,True,427,3.41,207.31,215.04,57,39,4,0.0005,3,1000,16,1000
7,True,503,4.85,206.88,237.12,77,11,12,0.0005,3,2000,16,1000
8,True,279,4.05,219.14,249.63,76,16,8,0.0001,1,1000,16,1000
9,True,447,6.97,214.76,240.23,80,7,13,0.0001,1,2000,16,1000
10,False,1000,14.76,147.99,213.45,58,13,29,0.0001,3,1000,16,1000
11,False,1000,14.88,206.85,236.54,68,21,11,0.0001,3,2000,16,1000
12,True,487,4.96,225.54,261.58,87,4,9,0.001,1,1000,32,1000
13,True,351,4.8,200.52,250.63,83,7,10,0.001,1,2000,32,1000
14,True,449,2.56,265.72,268.42,97,3,0,0.001,3,1000,32,1000
15,True,698,6.13,238.15,246.75,90,9,1,0.001,3,2000,32,1000
16,True,213,2.76,185.64,227.54,68,12,20,0.0005,1,1000,32,1000
17,True,928,11.23,226.67,258.23,86,6,8,0.0005,1,2000,32,1000
18,True,308,2.4,172.99,202.6,51,34,15,0.0005,3,1000,32,1000
19,True,417,3.56,216.94,231.24,70,24,6,0.0005,3,2000,32,1000
20,True,265,4.03,252.31,266.35,93,3,4,0.0001,1,1000,32,1000
21,True,554,6.82,199.87,233.33,72,15,13,0.0001,1,2000,32,1000
22,True,737,11.16,244.49,252.93,94,3,3,0.0001,3,1000,32,1000
23,False,1000,11.48,206.81,250.05,79,5,16,0.0001,3,2000,32,1000
24,True,401,4.37,144.12,237.15,68,4,28,0.001,1,1000,64,1000
25,True,329,5.21,142.05,231.18,62,9,29,0.001,1,2000,64,1000
26,True,280,2.38,188.15,243.13,68,16,16,0.001,3,1000,64,1000
27,True,304,3.42,207.45,256.06,86,2,12,0.001,3,2000,64,1000
28,True,291,3.75,218.78,257.84,78,10,12,0.0005,1,1000,64,1000
29,True,311,4.86,202.52,239.63,76,9,15,0.0005,1,2000,64,1000
30,True,315,2.75,156.38,218.9,52,13,35,0.0005,3,1000,64,1000
31,True,729,5.62,211.18,247.69,80,8,12,0.0005,3,2000,64,1000
32,True,223,3.78,227.2,267.94,78,3,19,0.0001,1,1000,64,1000
33,True,292,5.54,256.52,261.62,94,5,1,0.0001,1,2000,64,1000
34,True,747,7.44,224.43,245.03,81,14,5,0.0001,3,1000,64,1000
35,True,623,6.84,222.82,248.21,81,14,5,0.0001,3,2000,64,1000
