,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,543,4.72,218.51,253.98,75,17,8,0.001,1,1000,16,1000
1,True,1000,8.41,214.52,240.81,78,11,11,0.001,1,2000,16,1000
2,False,1000,4.43,124.48,42.03,44,1,55,0.001,3,1000,16,1000
3,False,1000,96.54,208.07,249.34,79,8,13,0.001,3,2000,16,1000
4,True,812,37.68,258.16,267.14,92,3,5,0.0005,1,1000,16,1000
5,False,1000,9.34,196.38,253.02,68,11,21,0.0005,1,2000,16,1000
6,True,565,4.84,206.88,254.55,74,8,18,0.0005,3,1000,16,1000
7,False,1000,6.09,129.3,180.2,45,13,42,0.0005,3,2000,16,1000
8,True,903,8.86,249.56,255.46,92,7,1,0.0001,1,1000,16,1000
9,True,587,8.99,250.76,266.93,83,14,3,0.0001,1,2000,16,1000
10,False,1000,14.27,68.82,16.5,25,6,69,0.0001,3,1000,16,1000
11,True,1000,10.19,232.54,252.18,87,5,8,0.0001,3,2000,16,1000
12,True,910,7.12,260.94,272.97,85,14,1,0.001,1,1000,32,1000
13,True,1000,12.06,185.96,249.83,74,9,17,0.001,1,2000,32,1000
14,True,668,3.66,243.33,254.52,88,10,2,0.001,3,1000,32,1000
15,True,1000,7.81,213.1,242.94,59,41,0,0.001,3,2000,32,1000
16,False,1000,9.02,118.67,197.51,50,3,47,0.0005,1,1000,32,1000
17,True,1000,9.38,103.27,83.83,29,21,50,0.0005,1,2000,32,1000
18,True,807,4.34,225.72,261.86,80,6,14,0.0005,3,1000,32,1000
19,True,680,4.08,212.0,257.68,72,15,13,0.0005,3,2000,32,1000
20,True,377,6.7,260.41,268.58,94,5,1,0.0001,1,1000,32,1000
21,True,482,6.85,247.43,258.46,90,7,3,0.0001,1,2000,32,1000
22,True,1000,12.84,224.27,241.17,83,14,3,0.0001,3,1000,32,1000
23,True,1000,18.7,242.23,256.11,87,9,4,0.0001,3,2000,32,1000
24,True,958,9.74,250.31,276.73,89,2,9,0.001,1,1000,64,1000
25,False,1000,11.5,63.24,27.52,18,12,70,0.001,1,2000,64,1000
26,True,539,3.5,262.82,268.22,92,8,0,0.001,3,1000,64,1000
27,False,1000,8.1,198.71,258.48,78,7,15,0.001,3,2000,64,1000
28,True,639,8.1,225.74,267.31,85,2,13,0.0005,1,1000,64,1000
29,True,1000,11.18,237.19,255.56,76,22,2,0.0005,1,2000,64,1000
30,True,802,5.37,257.68,270.27,92,5,3,0.0005,3,1000,64,1000
31,True,794,5.57,244.35,264.39,87,5,8,0.0005,3,2000,64,1000
32,True,788,10.4,256.42,264.98,90,8,2,0.0001,1,1000,64,1000
33,True,661,16.5,251.53,257.2,91,8,1,0.0001,1,2000,64,1000
34,True,680,7.22,245.18,260.01,82,17,1,0.0001,3,1000,64,1000
35,True,517,5.6,252.12,255.62,90,10,0,0.0001,3,2000,64,1000
