,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,409,5.37,195.22,234.98,75,8,17,0.001,1,1000,16,1000
1,True,627,9.05,199.88,251.28,71,11,18,0.001,1,2000,16,1000
2,True,419,4.29,225.84,242.16,81,15,4,0.001,3,1000,16,1000
3,True,829,6.79,224.17,247.0,79,14,7,0.001,3,2000,16,1000
4,True,266,4.04,231.34,240.84,88,8,4,0.0005,1,1000,16,1000
5,True,471,9.88,196.71,231.47,77,9,14,0.0005,1,2000,16,1000
6,True,271,2.6,214.55,247.25,78,11,11,0.0005,3,1000,16,1000
7,True,466,5.05,224.75,242.55,76,18,6,0.0005,3,2000,16,1000
8,True,432,7.37,210.35,242.75,71,19,10,0.0001,1,1000,16,1000
9,True,420,8.52,191.0,228.42,59,23,18,0.0001,1,2000,16,1000
10,False,1000,15.08,165.04,227.62,61,12,27,0.0001,3,1000,16,1000
11,False,1000,13.34,201.38,215.42,63,34,3,0.0001,3,2000,16,1000
12,True,692,7.52,196.49,254.88,72,10,18,0.001,1,1000,32,1000
13,True,686,8.76,209.98,252.04,81,6,13,0.001,1,2000,32,1000
14,True,516,4.52,146.75,234.49,65,5,30,0.001,3,1000,32,1000
15,True,792,8.12,217.34,249.41,74,15,11,0.001,3,2000,32,1000
16,True,350,4.65,203.14,248.95,74,10,16,0.0005,1,1000,32,1000
17,True,357,5.66,210.09,240.44,80,8,12,0.0005,1,2000,32,1000
18,True,368,3.07,239.19,242.96,85,15,0,0.0005,3,1000,32,1000
19,True,464,4.65,220.02,239.64,78,18,4,0.0005,3,2000,32,1000
20,True,319,5.91,224.45,245.43,77,21,2,0.0001,1,1000,32,1000
21,True,334,6.92,216.87,231.44,79,17,4,0.0001,1,2000,32,1000
22,True,740,10.43,229.92,247.28,76,22,2,0.0001,3,1000,32,1000
23,True,872,13.09,196.21,233.9,70,16,14,0.0001,3,2000,32,1000
24,True,584,7.6,178.77,248.68,66,10,24,0.001,1,1000,64,1000
25,True,659,10.45,230.79,266.69,81,9,10,0.001,1,2000,64,1000
26,True,338,3.03,248.92,255.13,92,8,0,0.001,3,1000,64,1000
27,True,412,5.03,228.59,250.84,81,13,6,0.001,3,2000,64,1000
28,True,229,4.32,185.5,236.59,60,21,19,0.0005,1,1000,64,1000
29,True,667,9.94,230.89,251.21,78,21,1,0.0005,1,2000,64,1000
30,True,335,3.38,171.2,208.06,54,30,16,0.0005,3,1000,64,1000
31,True,454,5.06,203.48,245.93,69,17,14,0.0005,3,2000,64,1000
32,True,230,4.03,200.87,229.01,68,12,20,0.0001,1,1000,64,1000
33,True,639,10.89,246.12,255.2,92,6,2,0.0001,1,2000,64,1000
34,True,447,5.4,237.31,263.69,85,6,9,0.0001,3,1000,64,1000
35,True,810,9.69,221.87,229.57,77,20,3,0.0001,3,2000,64,1000
