,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,377,4.32,195.08,242.92,59,30,11,0.001,1,1000,16,1000
1,True,554,7.1,166.92,250.78,71,5,24,0.001,1,2000,16,1000
2,True,524,4.37,197.17,231.92,71,13,16,0.001,3,1000,16,1000
3,True,590,4.81,202.87,231.88,72,18,10,0.001,3,2000,16,1000
4,True,494,5.9,232.13,256.86,86,4,10,0.0005,1,1000,16,1000
5,True,609,7.92,215.5,248.91,78,9,13,0.0005,1,2000,16,1000
6,True,430,3.85,202.13,228.57,66,24,10,0.0005,3,1000,16,1000
7,True,336,3.39,230.76,248.24,83,12,5,0.0005,3,2000,16,1000
8,True,390,6.74,233.92,245.38,88,11,1,0.0001,1,1000,16,1000
9,True,429,7.19,158.81,193.9,43,38,19,0.0001,1,2000,16,1000
10,True,744,11.36,244.65,254.4,92,3,5,0.0001,3,1000,16,1000
11,True,910,10.41,198.65,233.89,65,25,10,0.0001,3,2000,16,1000
12,True,445,4.43,257.29,271.43,91,4,5,0.001,1,1000,32,1000
13,True,652,6.46,177.74,248.73,76,8,16,0.001,1,2000,32,1000
14,True,363,2.85,240.51,251.82,87,13,0,0.001,3,1000,32,1000
15,True,506,4.45,163.37,225.82,61,11,28,0.001,3,2000,32,1000
16,True,514,5.68,220.58,257.33,83,7,10,0.0005,1,1000,32,1000
17,True,444,6.14,183.95,242.54,72,13,15,0.0005,1,2000,32,1000
18,True,447,3.96,206.74,238.59,71,21,8,0.0005,3,1000,32,1000
19,True,371,3.53,209.89,233.84,70,19,11,0.0005,3,2000,32,1000
20,True,375,5.65,215.11,235.66,82,9,9,0.0001,1,1000,32,1000
21,True,391,6.23,159.81,209.96,55,26,19,0.0001,1,2000,32,1000
22,True,558,5.48,177.68,214.37,59,18,23,0.0001,3,1000,32,1000
23,True,597,6.31,226.37,252.1,81,13,6,0.0001,3,2000,32,1000
24,True,646,5.97,246.03,266.27,81,17,2,0.001,1,1000,64,1000
25,True,576,6.27,209.37,254.52,74,7,19,0.001,1,2000,64,1000
26,True,442,3.53,13.75,117.82,39,17,44,0.001,3,1000,64,1000
27,True,505,3.99,179.58,227.5,72,12,16,0.001,3,2000,64,1000
28,True,476,6.42,172.89,226.58,58,28,14,0.0005,1,1000,64,1000
29,True,586,7.71,206.6,245.8,73,14,13,0.0005,1,2000,64,1000
30,True,352,3.27,227.59,247.91,80,14,6,0.0005,3,1000,64,1000
31,True,434,3.83,243.96,257.91,86,13,1,0.0005,3,2000,64,1000
32,True,559,7.63,243.45,259.78,86,13,1,0.0001,1,1000,64,1000
33,True,366,6.11,237.21,242.42,88,11,1,0.0001,1,2000,64,1000
34,True,710,7.06,210.84,236.23,74,15,11,0.0001,3,1000,64,1000
35,True,484,4.93,213.82,240.83,78,14,8,0.0001,3,2000,64,1000
