,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,297,3.47,250.02,269.67,87,10,3,0.001,1,1000,16,1000
1,True,415,4.37,202.87,251.27,77,6,17,0.001,1,2000,16,1000
2,True,371,3.05,209.47,240.21,74,16,10,0.001,3,1000,16,1000
3,True,333,2.89,242.63,245.9,94,5,1,0.001,3,2000,16,1000
4,True,586,6.48,266.29,270.17,95,5,0,0.0005,1,1000,16,1000
5,True,448,5.39,220.18,254.4,85,5,10,0.0005,1,2000,16,1000
6,True,461,5.34,240.89,250.21,89,10,1,0.0005,3,1000,16,1000
7,True,493,6.13,210.06,237.02,77,12,11,0.0005,3,2000,16,1000
8,True,273,4.55,232.76,251.07,83,11,6,0.0001,1,1000,16,1000
9,True,700,8.83,236.08,246.5,85,13,2,0.0001,1,2000,16,1000
10,True,902,12.89,209.52,239.53,83,2,15,0.0001,3,1000,16,1000
11,False,1000,12.98,130.99,174.59,29,41,30,0.0001,3,2000,16,1000
12,True,371,2.92,205.19,258.38,80,6,14,0.001,1,1000,32,1000
13,True,343,4.26,216.01,245.66,75,12,13,0.001,1,2000,32,1000
14,True,491,4.06,228.54,228.39,85,13,2,0.001,3,1000,32,1000
15,True,449,3.84,183.26,207.71,53,42,5,0.001,3,2000,32,1000
16,True,294,3.58,200.05,251.28,73,3,24,0.0005,1,1000,32,1000
17,True,635,6.96,110.1,235.92,62,11,27,0.0005,1,2000,32,1000
18,True,571,5.29,205.3,259.74,81,5,14,0.0005,3,1000,32,1000
19,True,385,4.84,247.69,255.75,90,7,3,0.0005,3,2000,32,1000
20,True,237,3.36,246.29,256.52,91,8,1,0.0001,1,1000,32,1000
21,True,318,5.03,230.98,232.47,82,17,1,0.0001,1,2000,32,1000
22,True,910,14.05,221.6,234.69,70,24,6,0.0001,3,1000,32,1000
23,True,932,11.49,212.45,232.06,75,16,9,0.0001,3,2000,32,1000
24,True,435,3.65,201.39,239.89,76,14,10,0.001,1,1000,64,1000
25,True,794,8.23,191.38,256.65,72,8,20,0.001,1,2000,64,1000
26,True,538,4.69,173.21,221.32,62,19,19,0.001,3,1000,64,1000
27,False,1000,9.71,142.71,186.29,47,22,31,0.001,3,2000,64,1000
28,True,355,3.75,209.55,257.68,78,9,13,0.0005,1,1000,64,1000
29,True,890,8.01,208.48,257.52,77,7,16,0.0005,1,2000,64,1000
30,True,492,4.45,247.64,256.32,92,7,1,0.0005,3,1000,64,1000
31,True,366,3.89,192.32,201.68,54,35,11,0.0005,3,2000,64,1000
32,True,204,3.26,202.1,234.86,67,25,8,0.0001,1,1000,64,1000
33,True,640,17.53,231.88,255.97,82,8,10,0.0001,1,2000,64,1000
34,True,828,14.53,202.29,231.12,73,16,11,0.0001,3,1000,64,1000
35,True,581,7.67,207.99,232.29,66,28,6,0.0001,3,2000,64,1000
